,시군구명,연면적_합계,주거용,상업용,공업용,교육및사회용,기타,주민등록인구,재고지표_주거용,재고지표_상업용,재고지표_공업용,재고지표_교육및사회용,재고지수_주거용,재고지수_상업용,재고지수_공업용,재고지수_교육및사회용
11110,서울특별시 종로구,16799481,5043993,8368686,12310,2825484,549008,141379,35.67710197412629,59.19327481450569,0.0870709228386111,19.985174601602782,96.3086846678259,347.36231559512305,1.0193506203396028,290.44532935019663
11140,서울특별시 중구,21841440,4456165,14939584,106117,1873065,466509,120437,36.9999667876151,124.04480350722784,0.8810996620639837,15.552238929896959,99.87969697350174,727.9288114881185,10.315148362108054,226.0213006977987
11170,서울특별시 용산구,16874294,8824454,6212399,32465,1333849,471127,218650,40.35881088497599,28.412526869426024,0.14847930482506289,6.100384175623142,108.94674107522604,166.73247351494578,1.7382665365975012,88.65712341134578
11200,서울특별시 성동구,18083804,9380086,4522594,1837212,1875180,468732,281000,33.38108896797153,16.09464056939502,6.538120996441281,6.673238434163701,90.11070387994268,94.44774992388551,76.54263302033598,96.9824369053861
11215,서울특별시 광진구,16665879,9834221,4607722,10814,1997625,215497,337416,29.145686630153875,13.655908433506413,0.032049458235531215,5.92036240130877,78.67743139917688,80.13660318478139,0.37520717673443293,86.04085987733838
11230,서울특별시 동대문구,18303000,10139741,5302606,68846,2221916,569891,336644,30.1200704601894,15.751375340121909,0.20450683808414824,6.600194864604745,81.3077354272444,92.43337573564784,2.394188156833511,95.92089183308217
11260,서울특별시 중랑구,17615678,12392286,3649886,200392,1204647,168467,385318,32.16119153530331,9.472399420738196,0.520069137699251,3.126370945556657,86.81764725064758,55.58662884154535,6.088517048519548,45.4356720446298
11290,서울특별시 성북구,21293896,14285818,3605964,10815,3201438,189861,430397,33.19218767788809,8.378227543407599,0.025127963252531964,7.438337163130784,89.60077359487678,49.1657292011781,0.2941763345820509,108.1016468572691
11305,서울특별시 강북구,12685065,8525053,2826092,21783,1129762,182375,293660,29.030351426820133,9.623687257372472,0.07417762037730709,3.847177007423551,78.36608935864274,56.47442721761663,0.8684070511929085,55.91117492163534
11320,서울특별시 도봉구,14175204,10054231,2468840,34841,1130349,486943,311694,32.25673577290548,7.920717113579344,0.11177950169076081,3.6264701919189974,87.07556449565611,46.48093295004861,1.3086171671905324,52.70363408214165
11350,서울특별시 노원구,22394906,15763002,3352866,41240,3028067,209731,503734,31.292313006467698,6.6560248067432415,0.08186860525594858,6.011242044412329,84.47214989750044,39.059372821899196,0.9584464116530824,87.36161730871575
11380,서울특별시 은평구,20031929,14106221,4040308,3250,1735969,146181,466746,30.222478607208203,8.656331280825118,0.006963101986947933,3.719301290209236,81.58418147787381,50.797717944962464,0.08151794076007884,54.052752088580604
11410,서울특별시 서대문구,17045866,9902821,3630035,7523,3219197,286290,306337,32.32655865925435,11.849809197060754,0.02455792150474804,10.50867835096642,87.26404814404346,69.53791921380086,0.2875027816865561,152.72303622691098
11440,서울특별시 마포구,23550029,11806549,8988316,97361,1959597,698206,364638,32.37882228401867,24.649970655828522,0.26700727845150535,5.374088822338868,87.40513137890582,144.65276525403763,3.1258889426176726,78.10184444604464
11470,서울특별시 양천구,20514449,14363065,4086660,67553,1699809,297362,440881,32.57809930570834,9.269303961840043,0.15322275171758365,3.8554825451765895,87.94307047097033,54.394809177727254,1.7937986864220905,56.03187962880954
11500,서울특별시 강서구,33822876,17537838,10232564,704638,4533364,814472,569166,30.81322145033259,17.978171570332734,1.238018433989381,7.964924117041425,83.17886442716443,105.50082465291861,14.493642855009725,115.75455579146612
11530,서울특별시 구로구,23219861,12633807,6353744,2213497,1757624,261189,395315,31.958835359143976,16.072610449894388,5.5993245892516095,4.446135360408788,86.27139612367965,94.31847116128017,65.55202135752928,64.61586024802207
11545,서울특별시 금천구,17402860,6553053,3923878,5551689,884057,490183,229642,28.535951611638986,17.086935316710356,24.175407808676113,3.849718257113246,77.03147995189654,100.27080671978803,283.0246440871415,55.94810700343088
11560,서울특별시 영등포구,28951504,11637215,13319739,1396904,1739479,858167,375675,30.976815066214147,35.45548412856858,3.7183842416982764,4.630276169561456,83.62047781765315,208.06247172571747,43.53160802558231,67.2919858775109
11590,서울특별시 동작구,18095159,12254809,3306381,8052,2010775,515142,380596,32.198995785557386,8.687377166339111,0.021156291710895545,5.283226833702929,86.91969807359456,50.979903686765674,0.24767945918707765,76.78134358774028
11620,서울특별시 관악구,20928849,12536494,5202879,10068,2718751,460657,486752,25.75540316218526,10.688973029386629,0.02068404444152258,5.585495283018868,69.52551817237033,62.72581529670116,0.2421507989719875,81.17422286269543
11650,서울특별시 서초구,33369765,15591222,12700017,11864,3403220,1663442,404325,38.56111296605454,31.41041736227045,0.02934273171334941,8.417040746923886,104.09393878968802,184.3249143244523,0.3435191772332703,122.32518457448316
11680,서울특별시 강남구,50118512,20748479,24396436,72245,4208956,692396,529102,39.21451629364471,46.10913585660232,0.13654267041137624,7.954904725364863,105.85777081515428,270.5810119718961,1.598522804732943,115.60894357774272
11710,서울특별시 송파구,39270842,21437943,11193139,1094139,3355083,2190538,658801,32.54084769148802,16.990166985174582,1.6608034899764876,5.092710848951352,87.84251146340534,99.7029437011617,19.443242503672934,74.01256728026628
11740,서울특별시 강동구,21801554,14645577,5109364,35172,1849385,162056,460067,31.8335742402737,11.105695474789542,0.07644973449519309,4.019816678875033,85.93325953379727,65.17125650685948,0.8950069867401909,58.420154064084976
26110,부산광역시 중구,4316181,1255309,2596956,7599,294505,161812,39689,31.628637657789312,65.43263876640883,0.1914636297210814,7.420317972234121,85.38004271944659,383.97660863712076,2.2414896197942893,107.83977324650837
26140,부산광역시 서구,7324421,3598748,1559270,220229,1023975,922199,105192,34.21123279336832,14.823085405734277,2.0935907673587346,9.734342915811089,92.35163869485739,86.98591667610089,24.509939459353415,141.4695888603225
26170,부산광역시 동구,6635054,2877615,2869969,46781,569195,271494,86462,33.281846360250746,33.19341444796558,0.5410584996877241,6.583181050634961,89.84280305606059,194.7880285604405,6.334242239731084,95.67362940478391
26200,부산광역시 영도구,6597551,3621294,1218370,419767,955568,382552,108156,33.48213691334739,11.264932135064166,3.881125411442731,8.835090055105589,90.38347812922429,66.10570075266207,45.43684007005352,128.40071162990944
26230,부산광역시 부산진구,24075199,12487289,7514087,135635,2287573,1650615,355917,35.084834385544944,21.111908113408465,0.38108603972274435,6.427265345572142,94.70988573878113,123.89044721526226,4.461423840817287,93.4077003243241
26260,부산광역시 동래구,15955938,10118659,3780124,32625,1403510,621020,273226,37.03402677636828,13.835154780291774,0.11940664504842145,5.136809820441686,99.97164033591382,81.1884697401704,1.397909126659725,74.65345936921945
26290,부산광역시 남구,16117398,9922143,3000343,419237,2154804,620871,256333,38.70802042655452,11.70486437563638,1.6355170812965947,8.406268408671533,104.49050867641549,68.68734338468397,19.14721122786131,122.16862975852845
26320,부산광역시 북구,15171795,10564465,2387924,49914,1357238,812254,278857,37.88488365004285,8.563256436094486,0.17899496874742252,4.867146960628566,102.26848906548844,50.25152931642985,2.0955173837831738,70.7344384102704
