시군구명,연면적_합계,주거용,상업용,공업용,교육및사회용,기타,주민등록인구,재고지표_주거용,재고지표_상업용,재고지표_공업용,재고지표_교육및사회용
서울특별시 종로구,16799481,5043993,8368686,12310,2825484,549008,141379,35.67710197412629,59.19327481450569,0.0870709228386111,19.985174601602782
서울특별시 중구,21841440,4456165,14939584,106117,1873065,466509,120437,36.9999667876151,124.04480350722784,0.8810996620639837,15.552238929896959
서울특별시 용산구,16874294,8824454,6212399,32465,1333849,471127,218650,40.35881088497599,28.412526869426024,0.14847930482506289,6.100384175623142
서울특별시 성동구,18083804,9380086,4522594,1837212,1875180,468732,281000,33.38108896797153,16.09464056939502,6.538120996441281,6.673238434163701
서울특별시 광진구,16665879,9834221,4607722,10814,1997625,215497,337416,29.145686630153875,13.655908433506413,0.032049458235531215,5.92036240130877
서울특별시 동대문구,18303000,10139741,5302606,68846,2221916,569891,336644,30.1200704601894,15.751375340121909,0.20450683808414824,6.600194864604745
서울특별시 중랑구,17615678,12392286,3649886,200392,1204647,168467,385318,32.16119153530331,9.472399420738196,0.520069137699251,3.126370945556657
서울특별시 성북구,21293896,14285818,3605964,10815,3201438,189861,430397,33.19218767788809,8.378227543407599,0.025127963252531964,7.438337163130784
서울특별시 강북구,12685065,8525053,2826092,21783,1129762,182375,293660,29.030351426820133,9.623687257372472,0.07417762037730709,3.847177007423551
서울특별시 도봉구,14175204,10054231,2468840,34841,1130349,486943,311694,32.25673577290548,7.920717113579344,0.11177950169076081,3.6264701919189974
서울특별시 노원구,22394906,15763002,3352866,41240,3028067,209731,503734,31.292313006467698,6.6560248067432415,0.08186860525594858,6.011242044412329
서울특별시 은평구,20031929,14106221,4040308,3250,1735969,146181,466746,30.222478607208203,8.656331280825118,0.006963101986947933,3.719301290209236
서울특별시 서대문구,17045866,9902821,3630035,7523,3219197,286290,306337,32.32655865925435,11.849809197060754,0.02455792150474804,10.50867835096642
서울특별시 마포구,23550029,11806549,8988316,97361,1959597,698206,364638,32.37882228401867,24.649970655828522,0.26700727845150535,5.374088822338868
서울특별시 양천구,20514449,14363065,4086660,67553,1699809,297362,440881,32.57809930570834,9.269303961840043,0.15322275171758365,3.8554825451765895
서울특별시 강서구,33822876,17537838,10232564,704638,4533364,814472,569166,30.81322145033259,17.978171570332734,1.238018433989381,7.964924117041425
서울특별시 구로구,23219861,12633807,6353744,2213497,1757624,261189,395315,31.958835359143976,16.072610449894388,5.5993245892516095,4.446135360408788
서울특별시 금천구,17402860,6553053,3923878,5551689,884057,490183,229642,28.535951611638986,17.086935316710356,24.175407808676113,3.849718257113246
서울특별시 영등포구,28951504,11637215,13319739,1396904,1739479,858167,375675,30.976815066214147,35.45548412856858,3.7183842416982764,4.630276169561456
서울특별시 동작구,18095159,12254809,3306381,8052,2010775,515142,380596,32.198995785557386,8.687377166339111,0.021156291710895545,5.283226833702929
서울특별시 관악구,20928849,12536494,5202879,10068,2718751,460657,486752,25.75540316218526,10.688973029386629,0.02068404444152258,5.585495283018868
