시도_코드,시도_약칭,시군구_코드,주_용도_코드,주_용도_코드_명,규모_구분,총_주차_대수_합계
47,경북,47280,01000,단독주택,10대 이하,2466
47,경북,47830,03000,제1종근린생활시설,10대 이하,652
43,충북,43740,10000,교육연구시설,10대 이하,11
29,광주,29170,12000,수련시설,10대 이하,9
48,경남,48129,04000,제2종근린생활시설,51-100대,174
46,전남,46870,Z8000,교육연구및복지시설,10대 이하,0
41,경기,41150,02000,공동주택,100대 이상,349442
47,경북,47210,13000,운동시설,100대 이상,231
29,광주,29200,30000,자원순환관련시설,21-50대,23
11,서울,11545,18000,창고시설,21-50대,71
46,전남,46170,11000,노유자시설,100대 이상,522
46,전남,46780,07000,판매시설,11-20대,20
46,전남,46900,27000,관광휴게시설,10대 이하,9
11,서울,11200,05000,문화및집회시설,21-50대,66
44,충남,44230,21000,동물및식물관련시설,10대 이하,53
11,서울,11230,Z5000,문화및집회시설,10대 이하,0
44,충남,44810,,,10대 이하,49
48,경남,48250,27000,관광휴게시설,11-20대,11
47,경북,47940,14000,업무시설,10대 이하,0
43,충북,43770,,,10대 이하,15
41,경기,41287,13000,운동시설,51-100대,438
43,충북,43760,05000,문화및집회시설,11-20대,26
41,경기,41463,14000,업무시설,100대 이상,3003
43,충북,43112,20000,자동차관련시설,51-100대,308
44,충남,44230,01000,단독주택,100대 이상,184
47,경북,47900,31000,야영장시설,11-20대,20
47,경북,47130,Z5000,문화및집회시설,21-50대,44
27,대구,27200,10000,교육연구시설,51-100대,534
51,강원,51190,Z8000,교육연구및복지시설,21-50대,22
41,경기,41250,Z5000,문화및집회시설,51-100대,85
45,전북,45750,09000,의료시설,10대 이하,10
28,인천,28177,09000,의료시설,10대 이하,30
46,전남,46840,10000,교육연구시설,11-20대,14
31,울산,31170,07000,판매시설,51-100대,188
41,경기,41500,01000,단독주택,11-20대,6720
48,경남,48240,16000,위락시설,10대 이하,87
43,충북,43111,23000,교정및군사시설,10대 이하,53
41,경기,41113,20000,자동차관련시설,10대 이하,353
41,경기,41670,05000,문화및집회시설,21-50대,132
48,경남,48310,Z9000,공공용시설,10대 이하,0
41,경기,41590,07000,판매시설,11-20대,173
28,인천,28260,15000,숙박시설,51-100대,58
41,경기,41630,16000,위락시설,10대 이하,8
46,전남,46870,05000,문화및집회시설,21-50대,49
47,경북,47840,18000,창고시설,21-50대,103
48,경남,48170,01000,단독주택,10대 이하,24251
44,충남,44790,14000,업무시설,10대 이하,43
28,인천,28245,11000,노유자시설,21-50대,378
28,인천,28185,09000,의료시설,21-50대,114
30,대전,30110,24000,방송통신시설,51-100대,92
41,경기,41670,30000,자원순환관련시설,10대 이하,54
11,서울,11650,08000,운수시설,51-100대,88
44,충남,44810,Z8000,교육연구및복지시설,21-50대,61
41,경기,41820,14000,업무시설,21-50대,309
50,제주,50130,22000,분뇨.쓰레기처리시설,11-20대,49
27,대구,27260,Z9000,공공용시설,11-20대,13
31,울산,31170,01000,단독주택,51-100대,90
51,강원,51190,14000,업무시설,21-50대,171
41,경기,41800,10000,교육연구시설,100대 이상,408
43,충북,43720,10000,교육연구시설,21-50대,59
46,전남,46810,12000,수련시설,21-50대,44
29,광주,29155,30000,자원순환관련시설,100대 이상,311
27,대구,27720,Z9000,공공용시설,10대 이하,0
51,강원,51820,23000,교정및군사시설,10대 이하,44
44,충남,44810,13000,운동시설,21-50대,54
51,강원,51790,10000,교육연구시설,21-50대,373
46,전남,46730,03000,제1종근린생활시설,51-100대,93
